x,y,elevation,label
318390.2428,77950.45201,73.519379,land
318391.243,77950.45201,73.578308,land
318392.2433,77950.45201,73.550346,land
318393.2436,77950.45201,73.499222,land
318394.2438,77950.45201,73.486458,land
318395.2441,77950.45201,73.352852,land
318396.2443,77950.45201,73.278557,land
318397.2446,77950.45201,73.250206,land
318398.2449,77950.45201,73.223892,land
318399.2451,77950.45201,73.175056,land
318400.2454,77950.45201,73.15239,land
318401.2457,77950.45201,73.109985,land
318402.2459,77950.45201,73.057922,land
318403.2462,77950.45201,72.99543,land
318404.2465,77950.45201,72.927635,land
318405.2467,77950.45201,72.892151,land
318406.247,77950.45201,72.890862,land
318407.2472,77950.45201,72.857056,land
318408.2475,77950.45201,72.902794,land
318409.2478,77950.45201,72.901871,land
318410.248,77950.45201,72.826035,land
318411.2483,77950.45201,72.777824,land
318412.2486,77950.45201,72.758385,land
318413.2488,77950.45201,72.797913,land
318414.2491,77950.45201,72.796791,land
318415.2493,77950.45201,72.637451,land
318416.2496,77950.45201,72.537682,land
318417.2499,77950.45201,72.460022,land
318418.2501,77950.45201,72.456245,land
317916.118,77949.45175,65.064545,land
317917.1182,77949.45175,64.847145,land
317918.1185,77949.45175,64.822823,land
317919.1188,77949.45175,64.896774,land
317920.119,77949.45175,64.895653,land
317921.1193,77949.45175,64.880508,land
317922.1196,77949.45175,64.951584,land
317923.1198,77949.45175,65.059013,land
317924.1201,77949.45175,65.070473,land
317925.1203,77949.45175,65.090691,land
317926.1206,77949.45175,65.149384,land
317927.1209,77949.45175,65.047462,land
317928.1211,77949.45175,64.974442,land
317929.1214,77949.45175,64.929291,land
317930.1217,77949.45175,64.845184,land
317931.1219,77949.45175,64.710548,land
317932.1222,77949.45175,64.576813,land
317933.1225,77949.45175,64.524231,land
317934.1227,77949.45175,64.520561,land
317935.123,77949.45175,64.54821,land
317936.1232,77949.45175,64.567871,land
317937.1235,77949.45175,64.59375,land
317938.1238,77949.45175,64.627304,land
317939.124,77949.45175,64.670029,land
317940.1243,77949.45175,64.75325,land
317941.1246,77949.45175,64.684654,land
317942.1248,77949.45175,64.600418,land
317943.1251,77949.45175,64.600121,land
317944.1253,77949.45175,64.590897,land
317945.1256,77949.45175,64.55336,land
317946.1259,77949.45175,64.546944,land
317947.1261,77949.45175,64.597229,land
317948.1264,77949.45175,64.623886,land
317949.1267,77949.45175,64.641769,land
317950.1269,77949.45175,64.628067,land
317951.1272,77949.45175,64.858406,land
317952.1275,77949.45175,64.858017,land
317953.1277,77949.45175,64.84581,land
317954.128,77949.45175,64.77697,land
317955.1282,77949.45175,64.773743,land
317956.1285,77949.45175,64.720612,land
317957.1288,77949.45175,64.717728,land
317958.129,77949.45175,64.72303,land
317959.1293,77949.45175,64.719429,land
317960.1296,77949.45175,64.747276,land
317961.1298,77949.45175,64.739517,land
317962.1301,77949.45175,64.804832,land
317963.1303,77949.45175,64.756401,land
317964.1306,77949.45175,64.710365,land
317965.1309,77949.45175,64.802193,land
317966.1311,77949.45175,64.850533,land
317967.1314,77949.45175,64.865295,land
317968.1317,77949.45175,64.90274,land
317969.1319,77949.45175,64.86721,land
317970.1322,77949.45175,64.858269,land
317971.1325,77949.45175,64.817657,land
317972.1327,77949.45175,64.797768,land
317973.133,77949.45175,64.746651,land
317974.1332,77949.45175,64.767982,land
317975.1335,77949.45175,64.766769,land
317976.1338,77949.45175,64.760864,land
317977.134,77949.45175,64.737015,land
317978.1343,77949.45175,64.830223,land
317979.1346,77949.45175,64.872871,land
317980.1348,77949.45175,64.835724,land
317981.1351,77949.45175,64.842773,land
317982.1354,77949.45175,64.827461,land
317983.1356,77949.45175,64.859604,land
317984.1359,77949.45175,64.902023,land
317985.1361,77949.45175,64.889816,land
317986.1364,77949.45175,64.785294,land
317987.1367,77949.45175,64.704613,land
317988.1369,77949.45175,64.63681,land
317989.1372,77949.45175,64.591194,land
317990.1375,77949.45175,64.499741,land
317991.1377,77949.45175,64.488869,land
317992.138,77949.45175,64.581657,land
317993.1382,77949.45175,64.706535,land
317994.1385,77949.45175,64.770164,land
317995.1388,77949.45175,64.787346,land
317996.139,77949.45175,64.798553,land
317997.1393,77949.45175,64.777962,land
317998.1396,77949.45175,64.804001,land
317999.1398,77949.45175,64.759315,land
318000.1401,77949.45175,64.725441,land
318001.1404,77949.45175,64.731598,land
318002.1406,77949.45175,64.702286,land
318003.1409,77949.45175,64.641823,land
318004.1411,77949.45175,64.643227,land
318005.1414,77949.45175,64.665703,land
318006.1417,77949.45175,64.679375,land
318007.1419,77949.45175,64.639023,land
318008.1422,77949.45175,64.752861,land
318009.1425,77949.45175,64.776611,land
318010.1427,77949.45175,64.751457,land
318011.143,77949.45175,64.825531,land
318012.1433,77949.45175,64.795349,land
318013.1435,77949.45175,64.736374,land
318014.1438,77949.45175,64.668655,land
318015.144,77949.45175,64.604889,land
318016.1443,77949.45175,64.59214,land
318017.1446,77949.45175,64.506508,land
318018.1448,77949.45175,64.266991,land
318019.1451,77949.45175,63.949867,land
318020.1454,77949.45175,63.763676,land
318021.1456,77949.45175,63.78318,land
318022.1459,77949.45175,63.809467,land
318023.1461,77949.45175,63.786369,land
318024.1464,77949.45175,63.792801,land
318025.1467,77949.45175,63.781624,land
318026.1469,77949.45175,63.795948,land
318027.1472,77949.45175,63.869415,land
318028.1475,77949.45175,64.244072,land
318029.1477,77949.45175,64.500397,land
318030.148,77949.45175,64.619141,land
318031.1483,77949.45175,64.631836,land
318032.1485,77949.45175,64.762962,land
318033.1488,77949.45175,64.78981,land
318034.149,77949.45175,64.791718,land
318035.1493,77949.45175,64.92086,land
318036.1496,77949.45175,65.15361,land
318037.1498,77949.45175,65.322823,land
318038.1501,77949.45175,65.633682,land
318039.1504,77949.45175,65.871803,land
318040.1506,77949.45175,65.911316,land
318041.1509,77949.45175,65.77095,land
318042.1511,77949.45175,65.70916,land
318043.1514,77949.45175,65.779739,land
318044.1517,77949.45175,65.756485,land
318045.1519,77949.45175,65.435448,land
318046.1522,77949.45175,65.117157,land
318047.1525,77949.45175,64.975883,land
318048.1527,77949.45175,64.933884,land
